id,year,month,official_id,title,company,director,result,province,type,summary,source,,
2020-12-46,2020,12,影剧备字〔2021〕第731号,林光,内蒙古方野文化有限责任公司,王子仁,同意拍摄,内蒙古自治区,故事影片,韩宇是当年“森林失踪事件”的唯一幸存者，却也因此患上了精神疾病。为了彻底摆脱心魔，时隔三年后，韩宇在女友和朋友的陪伴下，再次前往森林——但等待他的，却是一个令他无法面对的真相…,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-47,2020,12,影剧备字〔2021〕第723号,调解员,青海喀哇坚影视文化传播有限公司,拉华加,同意拍摄,青海省,故事影片,这是一部关于婚姻与人性的故事。明面的故事线索是一位法院的调解员在调解处理两位年轻人遇到的婚事遭遇，暗下是法官本人的家庭矛盾。讲述了人性光辉的一面和伟大的父母之爱。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-48,2020,12,影剧备字〔2021〕第719号,校歌,济南千圣演出传媒有限公司,康与江,同意拍摄,山东省,故事影片,1931年郑子义的父母被反动军阀杀害。十年后，在党组织培养下，郑子义秘密加入共产党，面对日寇的文化侵略和血腥屠杀，带领济南正谊中学党、团支部的师生，以校歌为纽带，坚持斗争，惩处叛徒。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-49,2020,12,影剧备字〔2021〕第755号,猎毒行动2,赖世山（青岛）文化传媒有限公司,董飞,同意拍摄,山东省,故事影片,二十多年前于飞父亲于教授，为阻止新型毒品MG32问世，命丧黄泉，毒枭沙坤逃跑。二十年后国外一起命案，检查出MG32的痕迹，沙坤再现踪迹。此时身为卧底缉毒警察的于飞，配合警方，将国际贩毒组织一网打尽。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-50,2020,12,影剧备字〔2021〕第802号,酥麻糖,青岛放映机影业有限公司,司号召,同意拍摄,山东省,故事影片,晨晨为了吃到美味的酥麻糖故意假装生病，不料却患上反复性感冒，妈妈冬梅带着晨晨四处求医，在外工作的父亲张艺被迫回来，带着晨晨求医的过程中，张艺和冬梅的婚姻裂痕也得到了修复。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-51,2020,12,影剧备字〔2021〕第752号,地球无应答,"青岛浩渺和承影业有限公司
上海六本电影工作室",贾迪男,同意拍摄,山东省,故事影片,30年前唐北方在一次星际探索任务中被遗落在太空，30年后，好战友好哥们简嘉阳成功搭救了他，并让他和女友刘杏子在地球重逢。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-52,2020,12,影剧备字〔2021〕第770号,猎手,"青岛空谷幽水影业有限公司
青岛空谷幽水影业有限公司",梁立波,同意拍摄,山东省,故事影片,杨昊男是交警事故科科长，因两起肇事事件犯难。恰巧“擒获”对车颇有研究的秦飞，便与秦飞、汽车技术达人贺新生组成临时探案小组，案情侦破神速。而他却发现秦飞，贺新生二人与一桩旧案关联，隐藏真相即将浮现。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-53,2020,12,影剧备字〔2021〕第721号,两小无猜的爱情,青岛曼纳传媒有限公司,宋爱文,同意拍摄,山东省,故事影片,陈若楠和罗子枫从出生起两家人就认识，两人一起上幼儿园、小学、中学，到大学后彼此萌生喜欢，开始了异地恋。工作后两人分分合合，爱情很甜蜜争吵时也很受伤，最终还是没能走到一起。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-54,2020,12,影剧备字〔2021〕第801号,乡村里的都市,"山东电影制片厂有限公司
山东沐文尔雅文化传媒有限公司
山东电影制片厂有限公司",高润光,同意拍摄,山东省,故事影片,"十九大后，为打造乡村振兴的齐鲁样板，大金兰村党支部、村委会坚持科技兴农、人才壮村，在县乡干部和科技人员的引导下，广大农民奔向小康。影片展现出立足当前、踏实致富的当代中国农民精神,传递出积极的正能量。",http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-55,2020,12,影剧备字〔2021〕第803号,甜咸配,山东柒玖影业有限公司,"张晓峰
曲桐慧",同意拍摄,山东省,故事影片,龙氏集团接班人龙宇，因与父亲的一个赌约而只身混迹于某个商区中姐妹俩开的烧烤店。为保住商区不被收购开发，在与商区一个个普通人的交集中，他体会了从来没有的温度，最后也收获了属于自己的爱情。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-56,2020,12,影剧备字〔2021〕第771号,雾中陌生人,山东戏巨人生文化传媒有限公司,胡德林,同意拍摄,山东省,故事影片,故事讲的是警方根据群众报警，在荒废的机井里发现一名已经身亡的男性，在对案件展开调查的过程中，警方发现这看似平常的死亡案件，却是充满了谋杀和反谋杀的种种悬疑也使得案件调查几经反转，最终将犯罪人绳之于法。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-57,2020,12,影剧备字〔2021〕第709号,重拾荣光,烟台糖果影视文化有限公司,孙金辉,同意拍摄,山东省,故事影片,运动员马丁因为在帆船比赛中的一意孤行，造成了撞船事故，造成队友昏迷，自己耳朵受伤。出院后的马丁被各大俱乐部冷落，被迫带领一支航海零基础的队伍，从而发生的一系列故事，最终重获新生。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-58,2020,12,影剧备字〔2021〕第796号,春到黄土坡,河津市全红影视文化传媒有限公司,张敬康,同意拍摄,山西省,故事影片,韩忠是扶贫第一书记，到任后通过协商决定走产业脱贫之路，成立南坡枣树规模种植合作社，拓宽机耕路需迁坟，遭到村民的阻挠，韩忠巧妙处理。三年后樊家坡成功脱贫摘帽，韩忠将前往新单位工作，村民含泪惜别。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-59,2020,12,影剧备字〔2021〕第797号,红岩岭,山西盛世清风影业有限公司,赵天魁,同意拍摄,山西省,故事影片,大学毕业的易东燊放弃得来不易的高薪工作，毅然决然决定返回位于大山深处的老家红岩岭村，和众村民冲破层层阻碍克服重重难，修山路，办公司，利用红岩岭村得天独厚的人文环境优势，大力发展农村原生态旅游产业,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-60,2020,12,影剧备字〔2021〕第804号,丹凤阁传奇,山西五洲影视传媒有限公司,"郭润生
郭继政
孙国强",同意拍摄,山西省,故事影片,戴龙邦途经太行山，荒店中被贼人迷倒，为李玉娘所救。和李玉娘向山贼讨要所劫财物时，被张知府得知心意拳秘术在自己身上。张家父子火烧李家时，他顿悟心法，大败敌人，并成一代宗师。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-61,2020,12,影剧备字〔2021〕第787号,白于山之歌,"陕西定边丑牛文化产业有限公司
陕西定边丑牛文化产业有限公司",刘世雄,同意拍摄,陕西省,故事影片,女干部闫小玉来到白于山村一心一意搞扶贫工作，受到了村民的好评。她的热心也打动了性格倔强的贫困户乔川。乔川不但自己脱了贫，还主动带领村民致富。二人在互帮互助的过程中遂萌生了爱慕之情，走到了一起。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-62,2020,12,影剧备字〔2021〕第743号,高手不具名,陕西广电影视文化产业发展有限公司,赵聪,同意拍摄,陕西省,故事影片,高中生陈宇飞酷爱电竞却始终无法得到父亲的理解。在一次意外中，父亲和陈宇飞的队有王凯互换了身份，本来一心想搞砸儿子的电竞生涯，谁知在一次次的比赛中，与儿子相互理解，共同成长，成为了挚友。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
